auth,pub,sel_1,sel_2,sel_3,sel_4,nos_select,comp_1,comp_2,nos_compare,out_1,out_2,out_3,nos_outcome,nos_total
Bor,2015,1,1,1,1,4,1,0,1,0,0,0,0,5
Broderick,2009,0,0,1,1,2,1,1,2,1,0,0,1,5
Burns,2009,1,1,1,1,4,1,1,2,1,0,0,1,7
Byoun,2016,1,1,1,1,4,1,1,2,1,0,0,1,7
Choi,2018,1,1,1,1,4,0,1,1,0,0,1,1,6
Gibbs ,2004,0,0,0,1,1,1,1,2,0,0,1,1,4
Gondar,2016,1,1,0,1,3,1,1,2,0,0,1,1,6
Guresir,2013,1,1,1,1,4,1,1,2,0,0,1,1,7
Irazabal,2011,0,1,1,1,3,1,1,2,1,0,1,2,7
Jeon,2014,0,0,1,1,2,1,1,2,1,0,1,2,6
Jiang,2013,0,1,0,1,2,1,1,2,0,0,1,1,5
Juvela,2013,1,1,1,1,4,1,1,2,1,1,1,3,9
Loumiotis,2011,0,0,0,1,1,1,1,2,0,0,1,1,4
Matsubara,2004,1,1,0,1,3,1,1,2,0,0,0,0,5
Matsumoto,2013,1,1,0,1,3,1,1,2,1,1,1,3,8
Mizoi ,1995,1,1,1,1,4,1,1,2,1,1,1,3,9
Morita,2012,1,1,1,1,4,1,1,2,1,0,1,2,8
Murayama,2016,1,1,1,1,4,1,1,2,1,0,1,2,8
Oh,2013,0,0,0,1,1,0,0,0,1,0,1,2,3
Serrone,2016,1,1,1,1,4,1,1,2,1,0,1,2,8
So,2010,1,1,1,1,4,1,1,2,1,0,1,2,8
Sonobe,2010,1,1,1,1,4,1,1,2,1,0,1,2,8
Teo,2016,1,1,1,1,4,1,1,2,1,0,0,1,7
Thien,2017,0,0,0,1,1,1,0,1,0,0,0,0,2
Tsukahara,2005,1,1,0,1,3,1,1,2,0,0,0,0,5
Tsutsumi,2000,0,0,1,1,2,1,0,1,1,0,1,2,5
Villablanca,2013,1,1,1,1,4,1,1,2,1,0,0,1,7
Wiebers-R,1998,1,1,1,1,4,1,1,2,1,0,1,2,8
Wiebers-P,2003,1,1,1,1,4,1,1,2,1,0,1,2,8
Wilkinson,2018,0,0,0,0,0,1,1,2,1,0,0,1,3
Zylkowski,2015,1,1,1,1,4,1,1,2,1,0,0,1,7